player_id,name,team,position,value,rds-played,tot-sel,avg-per-rd,rating,points-last-rd,primary-accent,Club,player_index,names_fantasy,names_stats
163482,F. Alashe,FC Cincinnati,MID,4,11,0.18%,1.82,$200K,3,20,CIN,290.0,F. Alashe-CIN,F. Alashe-CIN
116661,P. Mullins,Toronto FC,FWD,4.6,17,0.26%,1.82,$149K,1,31,TOR,190.0,P. Mullins-TOR,P. Mullins-TOR
185317,J. Bizama,Houston Dynamo,DEF,4.3,5,0.02%,1.8,$478K,4,9,HOU,358.0,J. Bizama-HOU,J. Bizama-HOU
234226,R. Buckmaster,New York Red Bulls,DEF,4,5,0.12%,1.8,$445K,DNP,9,NY,553.0,R. Buckmaster-NY,R. Buckmaster-RBNY
61126,D. da Silva,Los Angeles Football Club,DEF,4.4,5,0.12%,1.8,$489K,DNP,9,LAFC,,D. da Silva-LAFC,
212029,J. Dhillon,Seattle Sounders FC,FWD,4,5,0.12%,1.8,$445K,DNP,9,SEA,613.0,J. Dhillon-SEA,J. Dhillon-SEA
200735,M. Adams,Atlanta United FC,MID,4.3,14,0.05%,1.79,$172K,DNP,25,ATL,238.0,M. Adams-ATL,M. Adams-ATL
20962,Z. Stieber,D.C. United,MID,5.8,9,0.02%,1.78,$363K,DNP,16,DC,579.0,Z. Stieber-DC,Z. Stieber-DC
186262,R. Williams,Columbus Crew SC,FWD,4,9,0.18%,1.78,$250K,DNP,16,CLB,285.0,R. Williams-CLB,R. Williams-CLB
158870,G. Zelalem,Sporting Kansas City,MID,4.7,9,0.08%,1.78,$294K,DNP,16,SKC,585.0,G. Zelalem-SKC,G. Zelalem-SKC
217788,J. Colman,Orlando City SC,MID,5.5,8,0.00%,1.75,$393K,DNP,14,ORL,371.0,J. Colman-ORL,J. Colman-ORL
201360,A. Horta,Los Angeles Football Club,MID,6.3,4,0.00%,1.75,$900K,DNP,7,LAFC,587.0,A. Horta-LAFC,A. Horta-LFC
234193,G. Lillard,Chicago Fire,DEF,4,4,0.06%,1.75,$572K,DNP,7,CHI,542.0,G. Lillard-CHI,G. Lillard-CHI
179062,E. Sosa,Columbus Crew SC,MID,4.4,8,0.05%,1.75,$315K,DNP,14,CLB,385.0,E. Sosa-CLB,E. Sosa-CLB
